Instituição(IES),Nome do Curso,Grau,Modalidade,CC,CPC,ENADE,Situação
FATEC SENAI,SISTEMAS DE TELECOMUNICAÇÕES,Tecnológico,Presencial,4,-,-,Em Atividade
FATEC SENAI,REDES DE COMPUTADORES,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC SENAI,AUTOMAÇÃO INDUSTRIAL,Tecnológico,Presencial,4,3,3,Em Atividade
FATEC SENAI,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC SENAI BH,PROCESSOS GERENCIAIS,Tecnológico,Presencial,4,3,3,Em Atividade
FATEC SENAI ITAJAÍ,MANUTENÇÃO INDUSTRIAL,Tecnológico,Presencial,5,SC,4,Em Atividade
FATEC SENAI RM,PROCESSOS QUÍMICOS,Tecnológico,Presencial,4,2,3,Em Atividade
FATEC SENAI RM,PROCESSOS QUÍMICOS,Tecnológico,Presencial,-,-,3,Em Extinção
FATEC SERTÃOZINHO,PROCESSOS METALÚRGICOS,Tecnológico,Presencial,-,-,-,Extinto
FATEC SERTÃOZINHO,MECÂNICA: PROCESSOS DE SOLDAGEM,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC SERTÃOZINHO,GESTÃO EMPRESARIAL,Tecnológico,Presencial,-,SC,-,Em Atividade
FATEC SO,TECNOLOGIA MECÂNICA,Tecnológico,Presencial,-,4,5,Em Atividade
FATEC SO,SISTEMAS BIOMÉDICOS,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC SO,"SAÚDE:PROJETOS, MANUTENÇÃO E OPERAÇÃO DE APARELHOS MÉDICO-HOSPITALARES",Tecnológico,Presencial,-,-,-,Em Atividade
FATEC SO,PRODUÇÃO DE PLÁSTICOS,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC SO,PROCESSOS METALÚRGICOS,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC SO,PROCESSAMENTO DE DADOS,Tecnológico,Presencial,-,3,4,Em Atividade
FATEC SO,POLÍMEROS,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC SO,LOGÍSTICA DE TRANSPORTES,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC SO,LOGÍSTICA,Tecnológico,Presencial,-,3,4,Em Atividade
FATEC SO,FABRICAÇÃO MECÂNICA,Tecnológico,Presencial,-,-,5,Em Atividade
FATEC SO,ELETRÔNICA AUTOMOTIVA,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC SO,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Presencial,-,-,4,Em Atividade
FATEC SP,REDES DE COMPUTADORES,Tecnológico,Presencial,2,-,3,Em Atividade
FATEC SP,LOGÍSTICA,Tecnológico,Presencial,3,-,-,Em Atividade
FATEC SP,GESTÃO EDUCACIONAL DE ENTIDADES DE APOIO À CRIANÇA E AO ADOLESCENTE,Tecnológico,Presencial,3,-,-,Em Atividade
FATEC SP,GESTÃO DA QUALIDADE,Tecnológico,Presencial,3,-,-,Em Atividade
FATEC SP,GESTÃO COMERCIAL,Tecnológico,Presencial,3,-,-,Em Atividade
Fatec SS,PROCESSOS GERENCIAIS,Tecnológico,Presencial,-,-,-,Em Atividade
Fatec SS,PROCESSOS GERENCIAIS,Tecnológico,Presencial,-,3,3,Em Atividade
FATEC TATUÍ,PRODUÇÃO FONOGRÁFICA,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC TATUÍ,PROCESSOS GERENCIAIS,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC TATUÍ,PROCESSOS GERENCIAIS,Tecnológico,Presencial,-,3,5,Em Atividade
FATEC TATUÍ,MANUTENÇÃO INDUSTRIAL,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC TATUÍ,GESTÃO DA TECNOLOGIA DA INFORMAÇÃO,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC TATUÍ,GESTÃO DA TECNOLOGIA DA INFORMAÇÃO,Tecnológico,Presencial,-,-,-,Extinto
FATEC TATUÍ,AUTOMAÇÃO INDUSTRIAL,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC TATUÍ,AUTOMAÇÃO INDUSTRIAL,Tecnológico,Presencial,-,-,2,Em Atividade
FATEC TAUBATÉ,ELETRÔNICA AUTOMOTIVA,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC ZONASUL,PROCESSOS GERENCIAIS,Tecnológico,Presencial,-,3,4,Em Atividade
FATEC ZONASUL,LOGÍSTICA,Tecnológico,Presencial,-,3,4,Em Atividade
FATEC ZONASUL,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC- JF,MANUTENÇÃO INDUSTRIAL,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC- JF,FABRICAÇÃO MECÂNICA,Tecnológico,Presencial,-,SC,4,Em Atividade
FATEC- JF,FABRICAÇÃO MECÂNICA,Tecnológico,Presencial,4,3,4,Em Extinção
FATEC- JF,AUTOMAÇÃO INDUSTRIAL,Tecnológico,Presencial,3,-,-,Em Atividade
FATEC-AM,TECNOLOGIA TÊXTIL,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC-AM,SEGURANÇA DA INFORMAÇÃO,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC-AM,PRODUÇÃO TÊXTIL,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC-AM,PROCESSAMENTO DE DADOS,Tecnológico,Presencial,-,3,3,Em Extinção
FATEC-AM,LOGÍSTICA,Tecnológico,Presencial,-,4,5,Em Atividade
FATEC-AM,JOGOS DIGITAIS,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC-AM,GESTÃO EMPRESARIAL,Tecnológico,Presencial,-,3,4,Em Atividade
FATEC-AM,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC-AM,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Presencial,-,-,-,Extinto
FATEC-AM,ANÁLISE DE SISTEMAS E TECNOLOGIAS DA INFORMAÇÃO,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC-BS,SISTEMAS PARA INTERNET,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC-BS,PROCESSAMENTO DE DADOS,Tecnológico,Presencial,-,3,3,Em Atividade
FATEC-BS,LOGÍSTICA E TRANSPORTES,Tecnológico,Presencial,-,2,4,Em Extinção
FATEC-BS,LOGÍSTICA,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC-BS,INFORMÁTICA PARA A GESTÃO DE NEGÓCIOS,Tecnológico,Presencial,-,-,-,Em Extinção
FATEC-BS,GESTÃO EMPRESARIAL,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC-BS,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Presencial,-,-,5,Em Atividade
FATEC-CB,SILVICULTURA,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC-CB,AGROINDÚSTRIA,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC-COMERCIO,NEGÓCIOS IMOBILIÁRIOS,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC-COMERCIO,MARKETING,Tecnológico,Presencial,-,3,3,Em Extinção
FATEC-COMERCIO,LOGÍSTICA,Tecnológico,Presencial,4,2,3,Em Extinção
FATEC-COMERCIO,GESTÃO FINANCEIRA,Tecnológico,Presencial,4,2,2,Em Extinção
FATEC-COMERCIO,GESTÃO DE RECURSOS HUMANOS,Tecnológico,Presencial,4,2,3,Em Extinção
FATEC-EXPOENTE,MECATRÔNICA INDUSTRIAL,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC-ID,REDES DE COMPUTADORES,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC-ID,PROCESSOS GERENCIAIS,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC-ID,LOGÍSTICA,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC-ID,INFORMÁTICA,Tecnológico,Presencial,-,4,4,Em Atividade
FATEC-ID,GESTÃO EMPRESARIAL,Tecnológico,Presencial,-,4,4,Em Atividade
FATEC-ID,COMÉRCIO EXTERIOR,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC-ID,BANCO DE DADOS,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC-ID,AUTOMAÇÃO DE ESCRITÓRIOS E SECRETARIADO,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC-ID,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC-IVAI,MARKETING,Tecnológico,Presencial,5,3,3,Em Atividade
FATEC-IVAI,GESTÃO FINANCEIRA,Tecnológico,Presencial,4,SC,2,Em Atividade
FATEC-IVAI,AGRONEGÓCIO,Tecnológico,Presencial,3,3,3,Em Atividade
FATEC-JAHU,SISTEMAS PARA INTERNET,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC-JAHU,SISTEMAS DE NAVEGAÇÃO FLUVIAL,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC-JAHU,MEIO AMBIENTE E RECURSOS HÍDRICOS,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC-JAHU,LOGÍSTICA,Tecnológico,Presencial,-,3,4,Em Atividade
FATEC-JAHU,INFORMÁTICA,Tecnológico,Presencial,-,-,-,Em Extinção
FATEC-JAHU,GESTÃO DA TECNOLOGIA DA INFORMAÇÃO,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC-JAHU,GESTÃO DA PRODUÇÃO INDUSTRIAL,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC-JAHU,CONSTRUÇÃO NAVAL,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC-MC,LOGÍSTICA,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC-MC,GESTÃO DE RECURSOS HUMANOS,Tecnológico,Presencial,-,SC,-,Em Atividade
FATEC-MC,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC-MC,AGRONEGÓCIO,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC-PR,SISTEMAS DE TELECOMUNICAÇÕES,Tecnológico,Presencial,3,-,-,Em Atividade
FATEC-PR,REDES DE COMPUTADORES,Tecnológico,Presencial,3,2,3,Em Atividade
FATEC-PR,ELETRÔNICA INDUSTRIAL,Tecnológico,Presencial,4,-,-,Em Atividade
FATEC-PR,ADMINISTRAÇÃO,Bacharelado,Presencial,4,-,-,Em Atividade
FATEC-SA,ELETRÔNICA AUTOMOTIVA,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC-SB,INFORMÁTICA,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC-SB,ELETRÔNICA INDUSTRIAL,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC-SB,AUTOMAÇÃO INDUSTRIAL,Tecnológico,Presencial,-,-,4,Em Atividade
FATEC-SP,"TURISMO E HOSPITALIDADE, GESTÃO DE EMPREENDIMENTOS TURÍSTICOS E EM EVENTOS EM NEGÓCIOS",Tecnológico,Presencial,-,-,-,Em Atividade
FATEC-SP,TECNOLOGIA MECÂNICA,Tecnológico,Presencial,-,4,4,Em Atividade
FATEC-SP,SANEAMENTO AMBIENTAL,Tecnológico,Presencial,-,4,5,Em Atividade
FATEC-SP,PROCESSAMENTO DE DADOS,Tecnológico,Presencial,-,3,4,Em Extinção
FATEC-SP,MECÂNICA DE PRECISÃO,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC-SP,MECÂNICA,Tecnológico,Presencial,-,4,4,Em Atividade
FATEC-SP,MATERIAIS PROCESSOS E COMPONENTES ELETRÔNICOS,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC-SP,MATERIAIS,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC-SP,GESTÃO DE TURISMO,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC-SP,ELETRÔNICA INDUSTRIAL,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC-SP,CONSTRUÇÃO CIVIL,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC-SP,CONSTRUÇÃO CIVIL,Tecnológico,Presencial,-,4,5,Em Atividade
FATEC-SP,AUTOMAÇÃO DE ESCRITÓRIOS E SECRETARIADO,Tecnológico,Presencial,-,3,3,Em Atividade
FATEC-SP,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Presencial,-,4,5,Em Atividade
FATEC-TT,TRANSPORTE TERRESTRE,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC-TT,CONTROLE DE OBRAS,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC-TT,CONSTRUÇÃO DE EDIFÍCIOS,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC-ZL,POLÍMEROS,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC-ZL,LOGÍSTICA,Tecnológico,Presencial,-,3,4,Em Atividade
FATEC-ZL,COMÉRCIO EXTERIOR,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC-ZL,COMÉRCIO EXTERIOR,Tecnológico,Presencial,-,-,-,Extinto
FATEC-ZL,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Presencial,-,-,-,Em Extinção
FATEC/BA,SEGURANÇA NO TRABALHO,Tecnológico,Presencial,3,-,-,Em Atividade
FATEC/BA,PETRÓLEO E GÁS,Tecnológico,Presencial,4,-,-,Em Atividade
FATEC/BA,ENGENHARIA MECÂNICA,Bacharelado,Presencial,3,-,-,Em Atividade
FATEC/JD,LOGÍSTICA,Tecnológico,Presencial,-,3,4,Em Atividade
FATEC/JD,GESTÃO DA TECNOLOGIA DA INFORMAÇÃO,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC/JD,GESTÃO AMBIENTAL,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC/JD,EVENTOS,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC/JD,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC/TQ,TECNOLOGIA DE PRODUÇÃO,Tecnológico,Presencial,-,-,-,Em Extinção
FATEC/TQ,SISTEMAS PARA INTERNET,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC/TQ,PRODUÇÃO INDUSTRIAL,Tecnológico,Presencial,-,-,-,Em Atividade
FATEC/TQ,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Presencial,-,2,3,Em Atividade
FATEC/TQ,AGRONEGÓCIO,Tecnológico,Presencial,-,-,-,Em Atividade
FATECA,SISTEMAS PARA INTERNET,Tecnológico,Presencial,4,-,-,Em Atividade
FATECAEROTD,TRANSPORTE AÉREO,Tecnológico,Presencial,4,-,-,Em Atividade
FATECE,PEDAGOGIA,Licenciatura,Presencial,-,-,3,Em Atividade
FATECE,MATEMÁTICA,Licenciatura,Presencial,-,-,-,Em Atividade
FATECE,CIÊNCIA DA COMPUTAÇÃO,Bacharelado,Presencial,3,2,2,Em Atividade
FATECE,ADMINISTRAÇÃO,Bacharelado,Presencial,4,2,2,Em Atividade
FATECGA,MECATRÔNICA INDUSTRIAL,Tecnológico,Presencial,-,-,-,Em Atividade
FATECGA,GESTÃO EMPRESARIAL,Tecnológico,Presencial,-,3,3,Em Atividade
FATECGA,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Presencial,-,-,-,Em Atividade
FATECH,TEOLOGIA,Bacharelado,Presencial,3,-,-,Em Atividade
FATECH,TEOLOGIA,Bacharelado,Presencial,3,-,-,Em Extinção
FATECI,RADIOLOGIA,Tecnológico,Presencial,4,-,-,Em Atividade
FATECI,RADIOLOGIA,Tecnológico,Presencial,5,3,2,Em Atividade
FATECI,PSICOLOGIA,Bacharelado,Presencial,3,3,2,Em Atividade
FATECI,PSICOLOGIA,Bacharelado,Presencial,4,-,-,Em Atividade
FATECI,NEGÓCIOS IMOBILIÁRIOS,Tecnológico,Presencial,3,-,-,Em Atividade
FATECI,GESTÃO HOSPITALAR,Tecnológico,Presencial,3,SC,SC,Em Atividade
FATECI,GESTÃO AMBIENTAL,Tecnológico,Presencial,3,-,-,Em Atividade
FATECI,GASTRONOMIA,Tecnológico,Presencial,3,3,3,Em Atividade
FATECI,FONOAUDIOLOGIA,Bacharelado,Presencial,3,SC,SC,Em Atividade
FATECI,FISIOTERAPIA,Bacharelado,Presencial,4,2,1,Em Atividade
FATECI,ENFERMAGEM,Bacharelado,Presencial,4,-,-,Em Atividade
FATECI,BIOMEDICINA,Bacharelado,Presencial,3,SC,SC,Em Atividade
FATECIB,AUTOMAÇÃO INDUSTRIAL,Tecnológico,Presencial,4,3,2,Em Atividade
FATECIE,SISTEMAS PARA INTERNET,Tecnológico,Presencial,3,-,-,Em Atividade
FATECIE,PROCESSOS GERENCIAIS,Tecnológico,Presencial,4,4,3,Em Atividade
FATECIE,MARKETING,Tecnológico,Presencial,3,4,3,Em Atividade
FATECIE,GESTÃO AMBIENTAL,Tecnológico,Presencial,4,2,2,Em Atividade
FATECIE,ADMINISTRAÇÃO,Bacharelado,Presencial,4,-,-,Em Atividade
FATECIPI,GESTÃO DE RECURSOS HUMANOS,Tecnológico,Presencial,-,-,-,Em Atividade
FATECIPI,GESTÃO COMERCIAL,Tecnológico,Presencial,-,3,5,Em Atividade
FATECIPI,EVENTOS,Tecnológico,Presencial,-,-,-,Em Atividade
FATECIPI,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Presencial,-,-,-,Em Atividade
FATECMM,PROJETOS MECÂNICOS,Tecnológico,Presencial,-,-,-,Em Atividade
FATECMM,MECÂNICA DE PRECISÃO,Tecnológico,Presencial,-,-,-,Em Atividade
FATECMM,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Presencial,-,-,-,Em Atividade
FATECMM,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Presencial,-,-,-,Extinto
FATECPB,SISTEMAS PARA INTERNET,Tecnológico,Presencial,4,-,-,Em Atividade
FATECPB,PRODUÇÃO PUBLICITÁRIA,Tecnológico,Presencial,4,-,-,Em Atividade
FATECPB,GESTÃO FINANCEIRA,Tecnológico,Presencial,4,2,1,Em Atividade
FATECPB,GESTÃO DE TURISMO,Tecnológico,Presencial,3,2,2,Em Atividade
FATECPB,GESTÃO COMERCIAL,Tecnológico,Presencial,4,3,3,Em Atividade
FATECPB,ESTÉTICA E COSMÉTICA,Tecnológico,Presencial,4,-,-,Em Atividade
FATECPB,DESIGN DE INTERIORES,Tecnológico,Presencial,4,-,-,Em Atividade
FATECPB,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Presencial,3,3,3,Em Atividade
FATECPG,PROCESSOS QUÍMICOS,Tecnológico,Presencial,-,-,-,Em Atividade
FATECPG,PROCESSOS GERENCIAIS,Tecnológico,Presencial,-,-,-,Em Atividade
FATECPG,INFORMÁTICA,Tecnológico,Presencial,-,-,-,Em Atividade
FATECPG,COMÉRCIO EXTERIOR,Tecnológico,Presencial,-,-,-,Em Atividade
FATECPG,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Presencial,-,-,-,Em Atividade
FATECRP,INFORMÁTICA,Tecnológico,Presencial,-,-,-,Em Atividade
FATECRP,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Presencial,-,-,-,Em Atividade
FATECRP,AGRONEGÓCIO,Tecnológico,Presencial,-,-,-,Em Atividade
FATECSJCAMPOS,REDES DE COMPUTADORES,Tecnológico,Presencial,-,-,4,Em Extinção
FATECSJCAMPOS,MANUTENÇÃO DE AERONAVES,Tecnológico,Presencial,-,-,-,Em Atividade
FATECSJCAMPOS,MANUFATURA AERONÁUTICA,Tecnológico,Presencial,-,-,-,Em Extinção
FATECSJCAMPOS,LOGÍSTICA,Tecnológico,Presencial,-,3,5,Em Atividade
FATECSJCAMPOS,GESTÃO DA PRODUÇÃO INDUSTRIAL,Tecnológico,Presencial,-,-,-,Em Atividade
FATECSJCAMPOS,ESTRUTURAS LEVES,Tecnológico,Presencial,-,-,-,Em Extinção
FATECSJCAMPOS,BANCO DE DADOS,Tecnológico,Presencial,-,-,-,Em Atividade
FATECSJCAMPOS,AUTOMAÇÃO AERONÁUTICA,Tecnológico,Presencial,-,-,-,Em Extinção
FATECSJCAMPOS,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Presencial,-,-,-,Em Atividade
FATED,LOGÍSTICA,Tecnológico,Presencial,-,-,-,Em Atividade
FATED,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Presencial,-,-,-,Em Atividade
FATED,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Presencial,3,-,-,Em Atividade
FATEF,SISTEMAS DE INFORMAÇÃO,Bacharelado,Presencial,3,2,2,Em Atividade
FATEF,PROCESSOS GERENCIAIS,Tecnológico,Presencial,4,3,4,Em Atividade
FATEF,MARKETING,Tecnológico,Presencial,4,2,2,Em Atividade
FATEF,MANUTENÇÃO INDUSTRIAL,Tecnológico,Presencial,-,-,-,Em Extinção
FATEF,LOGÍSTICA,Tecnológico,Presencial,4,2,1,Em Atividade
FATEF,HOTELARIA,Tecnológico,Presencial,4,-,-,Em Atividade
FATEF,GESTÃO PÚBLICA,Tecnológico,Presencial,4,2,2,Em Atividade
FATEF,GESTÃO HOSPITALAR,Tecnológico,Presencial,4,2,2,Em Atividade
FATEF,GESTÃO FINANCEIRA,Tecnológico,Presencial,4,2,2,Em Atividade
FATEF,GESTÃO DE TURISMO,Tecnológico,Presencial,4,3,3,Em Atividade
FATEF,GESTÃO DE TELECOMUNICAÇÕES,Tecnológico,Presencial,3,-,-,Em Atividade
FATEF,GESTÃO DE RECURSOS HUMANOS,Tecnológico,Presencial,4,3,3,Em Atividade
FATEF,GESTÃO DA TECNOLOGIA DA INFORMAÇÃO,Tecnológico,Presencial,4,-,-,Em Atividade
FATEF,GESTÃO DA QUALIDADE,Tecnológico,Presencial,4,-,-,Em Atividade
FATEF,GESTÃO COMERCIAL,Tecnológico,Presencial,4,-,-,Em Atividade
FATEF,GESTÃO AMBIENTAL,Tecnológico,Presencial,3,1,1,Em Atividade
FATEF,COMÉRCIO EXTERIOR,Tecnológico,Presencial,4,-,-,Em Atividade
FATEF,AUTOMAÇÃO INDUSTRIAL,Tecnológico,Presencial,3,3,3,Em Atividade
FATEFIG,TEOLOGIA,Bacharelado,Presencial,3,-,-,Em Atividade
FATEFIG,PROCESSOS GERENCIAIS,Tecnológico,Presencial,4,SC,2,Em Atividade
FATEFIG,GESTÃO PÚBLICA,Tecnológico,Presencial,-,-,-,Extinto
FATEFIG,GESTÃO AMBIENTAL,Tecnológico,Presencial,3,SC,2,Em Atividade
FATEFIG,DIREITO,Bacharelado,Presencial,-,-,-,Em Atividade
FATEFIG,ADMINISTRAÇÃO,Bacharelado,Presencial,3,-,-,Em Atividade
FATEG,NEGÓCIOS IMOBILIÁRIOS,Tecnológico,Presencial,-,-,-,Em Extinção
FATEG,MARKETING,Tecnológico,Presencial,4,2,2,Em Atividade
FATEG,GESTÃO DE RECURSOS HUMANOS,Tecnológico,Presencial,3,2,3,Em Atividade
FATEG,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Presencial,3,2,3,Em Atividade
FATEG,ADMINISTRAÇÃO,Bacharelado,Presencial,3,-,-,Em Atividade
FATEGIDIO,RADIOLOGIA MÉDICA,Tecnológico,Presencial,3,SC,SC,Em Atividade
FATEGIDIO,GESTÃO HOSPITALAR,Tecnológico,Presencial,3,SC,SC,Em Atividade
FATEH,TEOLOGIA,Bacharelado,Presencial,2,-,-,Em Atividade
FATEH,PEDAGOGIA,Licenciatura,Presencial,3,-,-,Em Atividade
FATEJ,GESTÃO PÚBLICA,Tecnológico,Presencial,3,-,-,Em Atividade
FATEJ,GESTÃO DE SEGURANÇA PRIVADA,Tecnológico,Presencial,3,-,-,Em Atividade
FATEJA,MARKETING,Tecnológico,Presencial,3,3,2,Em Atividade
FATEJA,LOGÍSTICA,Tecnológico,Presencial,4,3,3,Em Atividade
FATEJA,GESTÃO FINANCEIRA,Tecnológico,Presencial,4,3,2,Em Atividade
FATEJA,GESTÃO DE RECURSOS HUMANOS,Tecnológico,Presencial,4,3,2,Em Atividade
FATEJA,GESTÃO DA PRODUÇÃO INDUSTRIAL,Tecnológico,Presencial,4,3,2,Em Atividade
FATEJA,ENGENHARIA MECÂNICA,Bacharelado,Presencial,4,-,-,Em Atividade
FATEJA,ENGENHARIA DE PRODUÇÃO,Bacharelado,Presencial,4,-,-,Em Atividade
FATEJA,ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Bacharelado,Presencial,4,-,-,Em Atividade
FATEJA,COMÉRCIO EXTERIOR,Tecnológico,Presencial,4,-,-,Em Extinção
FATEMA,TURISMO,Bacharelado,Presencial,-,-,-,Em Atividade
FATEMA,SERVIÇO SOCIAL,Bacharelado,Presencial,-,-,-,Em Atividade
FATEMA,SECRETARIADO EXECUTIVO,Bacharelado,Presencial,-,SC,3,Em Atividade
FATEMA,REDES DE COMPUTADORES,Tecnológico,Presencial,3,-,1,Em Atividade
FATEMA,PEDAGOGIA,Bacharelado,Presencial,-,-,-,Em Atividade
FATEMA,PEDAGOGIA,Licenciatura,Presencial,-,3,3,Em Atividade
FATEMA,PEDAGOGIA,Licenciatura,Presencial,3,3,3,Em Atividade
FATEMA,MATEMÁTICA,Licenciatura,Presencial,-,3,2,Em Atividade
FATEMA,MATEMÁTICA,Licenciatura,Presencial,3,3,2,Em Atividade
FATEMA,MARKETING,Tecnológico,Presencial,3,2,2,Em Atividade
FATEMA,LETRAS - PORTUGUÊS E INGLÊS,Licenciatura,Presencial,-,3,2,Em Atividade
FATEMA,LETRAS - LINGUAGEM AUDIOVISUAL,Bacharelado,Presencial,5,-,-,Em Atividade
FATEMA,LETRAS - INGLÊS,Licenciatura,Presencial,-,-,-,Em Atividade
FATEMA,LETRAS - INGLÊS,Licenciatura,Presencial,-,-,3,Em Atividade
FATEMA,INFORMÁTICA,Tecnológico,Presencial,-,2,2,Em Atividade
FATEMA,HOTELARIA,Tecnológico,Presencial,3,-,-,Em Atividade
FATEMA,HISTÓRIA,Licenciatura,Presencial,-,4,4,Em Atividade
FATEMA,GEOGRAFIA,Licenciatura,Presencial,-,SC,3,Em Atividade
FATEMA,FORMAÇÃO PEDAGÓGICA DE DOCENTES PARA A EDUCAÇÃO BÁSICA E PROFISSIONAL,Licenciatura,Presencial,-,-,-,Em Atividade
FATEMA,ENFERMAGEM,Bacharelado,Presencial,-,-,-,Em Atividade
FATEMA,EDUCAÇÃO FÍSICA,Licenciatura,Presencial,3,-,-,Em Atividade
FATEMA,DIREITO,Bacharelado,Presencial,-,-,2,Em Atividade
FATEMA,DIREITO,Bacharelado,Presencial,3,3,2,Em Atividade
FATEMA,DESENVOLVIMENTO PARA WEB E COMÉRCIO ELETRÔNICO,Tecnológico,Presencial,2,-,-,Em Atividade
FATEMA,COMÉRCIO EXTERIOR,Tecnológico,Presencial,3,-,-,Em Atividade
FATEMA,CIÊNCIAS CONTÁBEIS,Bacharelado,Presencial,-,-,2,Em Atividade
FATEMA,CIÊNCIAS CONTÁBEIS,Bacharelado,Presencial,3,2,1,Em Atividade
FATEMA,CIÊNCIAS BIOLÓGICAS,Licenciatura,Presencial,-,3,2,Em Atividade
FATEMA,CIÊNCIA DA COMPUTAÇÃO,Bacharelado,Presencial,2,SC,2,Em Atividade
FATEMA,ADMINISTRAÇÃO,Bacharelado,Presencial,-,-,2,Em Atividade
